CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE
SBRJ,RJ0002,SANTOS DUMONT,RIO DE JANEIRO,RJ,22° 54' 36'' S,43° 9' 45'' W,3 m,VFR Diurno/Noturno e IFR Diurno/Noturno,2R/20L,1323 m,42 m,PCN 65/F/B/X/T,Asfalto
SBRP,SP0004,LEITE LOPES,RIBEIRÃO PRETO,SP,21° 8' 11'' S,47° 46' 36'' W,550 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,2100 m,45 m,PCN 26/F/B/X/T,Asfalto
SBSG,RN0001,GOVERNADOR ALUIZIO ALVES,SÃO GONÇALO DO AMARANTE,RN,5° 46' 8'' S,35° 21' 59'' W,83 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,3000 m,60 m,PCN 70/F/A/X/T,Asfalto
SBSJ,SP0008,PROFESSOR URBANO ERNESTO STUMPF,SÃO JOSÉ DOS CAMPOS,SP,23° 13' 44'' S,45° 52' 16'' W,647 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,2676 m,45 m,PCN 71/F/A/X/T,Asfalto
SBSL,MA0001,MARECHAL CUNHA MACHADO,SÃO LUÍS,MA,2° 35' 13'' S,44° 14' 10'' W,54 m,VFR Diurno/Noturno e IFR Diurno/Noturno,06/24,2385 m,45 m,PCN 52/F/B/X/T,Asfalto
SBSM,RS0003,SANTA MARIA,SANTA MARIA,RS,29° 42' 39'' S,53° 41' 32'' W,88 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,2700 m,45 m,PCN 20/R/B/X/T,Concreto
SBSN,PA0002,MAESTRO WILSON FONSECA,SANTARÉM,PA,2° 25' 29'' S,54° 47' 9'' W,60 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2400 m,45 m,PCN 48/F/A/W/T,Asfalto
SBSP,SP0001,CONGONHAS,SÃO PAULO,SP,23° 37' 34'' S,46° 39' 23'' W,802 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17R/35L,1940 m,45 m,PCN 50/F/B/X/T,Asfalto
SBSR,SP0006,PROFESSOR ERIBERTO MANOEL REINO,SÃO JOSÉ DO RIO PRETO,SP,20° 48' 58'' S,49° 24' 17'' W,544 m,VFR Diurno/Noturno e IFR Diurno/Noturno,07/25,1640 m,35 m,PCN 35/F/B/X/T,Asfalto
SBSV,BA0001,DEPUTADO LUÍS EDUARDO MAGALHÃES,SALVADOR,BA,12° 54' 31'' S,38° 19' 21'' W,20 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,3003 m,45 m,PCN 73/F/A/W/T,Asfalto
SBTB,PA0012,TROMBETAS,TROMBETAS,PA,1° 29' 4'' S,56° 23' 57'' W,87 m,VFR Diurno/Noturno e IFR Diurno/Noturno,09/27,1600 m,30 m,PCN 26/F/A/X/T,Asfalto
SBTD,PR0008,LUIZ DALCANALE FILHO,TOLEDO,PR,24° 41' 7'' S,53° 41' 47'' W,562 m,VFR Diurno/Noturno e IFR Diurno/Noturno,02/20,1670 m,30 m,PCN 33/F/C/X/U,Asfalto
