CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE
SNGX,MG0023,GUAXUPÉ,GUAXUPÉ,MG,21° 19' 36'' S,46° 43' 49'' W,849 m,VFR Diurno/Noturno,12/30,1500 m,30 m,PCN 19/F/A/Y/T,Terra
SNHS,PE0005,SANTA MAGALHÃES,SERRA TALHADA,PE,8° 3' 41'' S,38° 19' 43'' W,470 m,VFR Diurno/Noturno,13/31,1593 m,30 m,PCN 31/F/B/Y/T,Asfalto
SNIB,BA0045,ITABERABA,ITABERABA,BA,12° 29' 59'' S,40° 16' 13'' W,283 m,VFR Diurno,14/32,1100 m,30 m,PCN 8/F/C/Y/U,Asfalto
SNIC,BA0019,IRECÊ,IRECÊ,BA,11° 20' 24'' S,41° 50' 49'' W,784 m,VFR Diurno/Noturno,11/29,1400 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SNIE,BA0020,CAETITÉ,CAETITÉ,BA,14° 0' 44'' S,42° 29' 38'' W,976 m,VFR Diurno,10/28,1365 m,20 m,PCN 12/F/C/Y/U,Asfalto
SNIG,CE0007,IGUATU,IGUATU,CE,6° 20' 48'' S,39° 17' 40'' W,213 m,VFR Diurno,16/34,1410 m,30 m,PCN 16/F/C/Y/U,Asfalto
SNIO,BA0010,CIPÓ,CIPÓ,BA,11° 7' 31'' S,38° 29' 13'' W,223 m,VFR Diurno,13/31,1620 m,27 m,PCN 4/F/B/Y/U,Asfalto
SNIP,BA0057,ITAPETINGA,ITAPETINGA,BA,15° 14' 40'' S,40° 16' 38'' W,270 m,VFR Diurno,11/29,1060 m,29 m,PCN 8/F/C/Y/U,Asfalto
SNIT,BA0046,IBOTIRAMA,IBOTIRAMA,BA,12° 9' 52'' S,43° 13' 32'' W,422 m,VFR Diurno,16/34,1100 m,20 m,PCN 6/F/C/Y/U,Asfalto
SNIU,BA0030,IPIAÚ,IPIAÚ,BA,14° 10' 24'' S,39° 41' 3'' W,132 m,VFR Diurno,15/33,1300 m,20 m,PCN 6/F/C/Z/U,Asfalto
SNJB,BA0062,JACOBINA,JACOBINA,BA,11° 9' 47'' S,40° 33' 12'' W,489 m,VFR Diurno,14/32,900 m,25 m,PCN 6/F/C/Y/U,Asfalto
SDIY,BA0013,JOÃO DURVAL CARNEIRO (SBFE*),FEIRA DE SANTANA,BA,12° 12' 2'' S,38° 54' 23'' W,238 m,VFR Diurno/Noturno,13/31,1500 m,30 m,PCN 30/F/A/X/T,Asfalto
SNJK,BA0047,JEQUIÉ,JEQUIÉ,BA,13° 52' 40'' S,40° 4' 17'' W,197 m,VFR Diurno,14/32,1200 m,29 m,PCN 8/F/C/Y/U,Asfalto
SNJM,MG0050,ELIAS BREDER,MANHUAÇU,MG,20° 15' 35'' S,42° 11' 2'' W,829 m,VFR Diurno,02/20,1170 m,30 m,PCN 14/F/B/X/T,Asfalto
SNJN,MG0039,JANUÁRIA,JANUÁRIA,MG,15° 28' 29'' S,44° 23' 11'' W,480 m,VFR Diurno,08/26,1200 m,30 m,PCN 10/F/B/Y/U,Asfalto
SNJO,PB0002,AEROCLUBE DE JOÃO PESSOA,JOÃO PESSOA,PB,7° 5' 30'' S,34° 50' 31'' W,6 m,VFR Diurno,15/33,782 m,18 m,"5000 kg / 0,5 MPa",Cascalho
SNJP,MG0036,JOÃO PINHEIRO,JOÃO PINHEIRO,MG,17° 47' 15'' S,46° 7' 12'' W,911 m,VFR Diurno,06/24,1300 m,23 m,"5670 kg / 0,5 MPa",Asfalto
SNJQ,MG0053,JEQUITINHONHA,JEQUITINHONHA,MG,16° 28' 20'' S,41° 1' 30'' W,260 m,VFR Diurno,10/28,1130 m,23 m,PCN 6/F/C/Z/U,Asfalto
SNJR,MG0034,PREFEITO OCTÁVIO DE ALMEIDA NEVES,SÃO JOÃO DEL REI,MG,21° 5' 8'' S,44° 13' 31'' W,945 m,VFR Diurno/Noturno,08/26,1400 m,30 m,PCN 16/F/B/Y/T,Asfalto
SNKC,BA0058,COCOS,COCOS,BA,14° 10' 2'' S,44° 33' 2'' W,613 m,VFR Diurno,15/33,1000 m,20 m,PCN 6/F/B/Y/U,Piçarra
SNKD,MG0070,CONCEIÇÃO DO MATO DENTRO,CONCEIÇÃO DO MATO DENTRO,MG,19° 1' 13'' S,43° 26' 2'' W,669 m,VFR Diurno,15/33,960 m,23 m,PCN 8/F/B/X/T,Asfalto
SNKF,MG0071,DAS BANDEIRINHAS,CONSELHEIRO LAFAIETE,MG,20° 44' 19'' S,43° 47' 53'' W,1057 m,VFR Diurno,04/22,902 m,24 m,PCN 9/F/C/Y/U,Asfalto
SNKI,ES0006,CACHOEIRO DE ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM,ES,20° 50' 7'' S,41° 11' 11'' W,78 m,VFR Diurno/Noturno,06/24,1200 m,30 m,PCN 14/F/C/Y/T,Asfalto
SNKK,RN0005,CAICÓ,CAICÓ,RN,6° 26' 21'' S,37° 4' 41'' W,182 m,VFR Diurno,14/32,980 m,30 m,PCN 12/F/B/Y/U,Asfalto
SNKN,RN0004,CURRAIS NOVOS,CURRAIS NOVOS,RN,6° 16' 51'' S,36° 32' 26'' W,365 m,VFR Diurno,10/28,1040 m,30 m,PCN 6/F/B/Y/U,Piçarra
SNKR,PI0012,CORRENTE,CORRENTE,PI,10° 27' 7'' S,45° 8' 11'' W,473 m,VFR Diurno,11/29,1000 m,20 m,"2500 kg / 0,5 MPa",Terra
SNKS,BA0064,SANTA RITA DE CÁSSIA,SANTA RITA DE CÁSSIA,BA,10° 59' 21'' S,44° 30' 55'' W,458 m,VFR Diurno,09/27,800 m,35 m,PCN 10/F/B/Y/U,Asfalto
SNKU,BA0066,CANUDOS,CANUDOS,BA,9° 54' 11'' S,39° 1' 58'' W,372 m,VFR Diurno,14/32,700 m,22 m,"2500 kg / 0,5 MPa",Terra
SNLI,MG0040,DOUTOR JOSÉ MOURÃO,ABAETÉ,MG,19° 9' 26'' S,45° 29' 45'' W,664 m,VFR Diurno,17/35,1200 m,30 m,"5670 kg / 0,63 MPa",Asfalto
SNLN,ES0002,MUNICIPAL DE LINHARES,LINHARES,ES,19° 21' 19'' S,40° 4' 10'' W,40 m,VFR Diurno/Noturno,06/24,1350 m,30 m,PCN 14/F/A/Y/T,Asfalto
SNLO,MG0037,SÃO LOURENÇO,SÃO LOURENÇO,MG,22° 5' 30'' S,45° 2' 43'' W,875 m,VFR Diurno,05/23,1300 m,30 m,PCN 14/F/B/X/T,Asfalto
SNLT,PI0010,PAULISTANA,PAULISTANA,PI,8° 9' 59'' S,41° 9' 14'' W,360 m,VFR Diurno,07/25,1060 m,30 m,"2500 kg / 0,5 MPa",Cascalho
SNMA,PA0019,MONTE ALEGRE,MONTE ALEGRE,PA,1° 59' 48'' S,54° 4' 17'' W,99 m,VFR Diurno,10/28,1425 m,30 m,PCN 9/F/C/Y/U,Asfalto
SNMC,BA0026,MACAÚBAS,MACAÚBAS,BA,13° 1' 30'' S,42° 40' 20'' W,641 m,VFR Diurno,12/30,1318 m,19 m,PCN 8/F/C/Y/U,Asfalto
SNMH,GO0018,PIRENÓPOLIS,PIRENÓPOLIS,GO,15° 50' 53'' S,48° 58' 49'' W,785 m,VFR Diurno,15/33,1295 m,30 m,PCN 18/F/A/Y/T,Asfalto
SNMJ,BA0031,MARACÁS,MARACÁS,BA,13° 23' 10'' S,40° 27' 58'' W,962 m,VFR Diurno,07/25,1300 m,20 m,"5700 kg / 0,5 MPa",Asfalto
SNMK,MG0017,MOCAMBINHO,JAÍBA,MG,15° 5' 36'' S,43° 58' 46'' W,463 m,VFR Diurno,11/29,1520 m,25 m,PCN 14/F/C/Y/T,Asfalto
SNMM,MG0064,MORADA NOVA DE MINAS,MORADA NOVA DE MINAS,MG,18° 35' 38'' S,45° 21' 11'' W,606 m,VFR Diurno,03/21,1000 m,60 m,"2500 kg / 0,5 MPa",Terra
SNMN,MG0075,MINAS NOVAS,MINAS NOVAS,MG,17° 14' 2'' S,42° 35' 2'' W,750 m,VFR Diurno,15/33,800 m,20 m,"2500 kg / 0,5 MPa",Asfalto
SNMR,BA0065,MARAÚ,MARAÚ,BA,14° 7' 2'' S,38° 59' 2'' W,20 m,VFR Diurno,12/30,800 m,30 m,"5000 kg / 0,5 MPa",Areia
SNMX,ES0003,SÃO MATEUS,SÃO MATEUS,ES,18° 43' 17'' S,39° 50' 1'' W,30 m,VFR Diurno/Noturno,08/26,1350 m,30 m,PCN 8/F/C/Y/U,Asfalto
SNMZ,PA0020,PORTO DE MOZ,PORTO DE MOZ,PA,1° 44' 29'' S,52° 14' 9'' W,16 m,VFR Diurno,05/23,1270 m,28 m,"5700 kg / 0,5 MPa",Asfalto
SNNE,MG0078,SEBASTIÃO CARLOS LEITE,SÃO JOÃO NEPOMUCENO,MG,21° 32' 32'' S,43° 1' 16'' W,403 m,VFR Diurno,11/29,620 m,40 m,"3000 kg / 0,5 MPa",Saibro
SNNH,BA0024,CARINHANHA,CARINHANHA,BA,14° 18' 12'' S,43° 46' 32'' W,452 m,VFR Diurno,13/31,1337 m,21 m,PCN 8/F/B/Y/U,Asfalto
SNNU,MG0041,NANUQUE,NANUQUE,MG,17° 49' 23'' S,40° 19' 47'' W,210 m,VFR Diurno,11/29,1220 m,23 m,PCN 13/F/C/Y/U,Asfalto
SNOB,CE0013,AERÓDROMO PÚBLICO DE SOBRAL,SOBRAL,CE,3° 40' 44'' S,40° 20' 12'' W,64 m,VFR Diurno/Noturno,10/28,1033 m,30 m,PCN 8/F/C/Y/U,Asfalto
SNOC,BA0059,MORRO DO CHAPÉU,MORRO DO CHAPÉU,BA,11° 32' 4'' S,41° 10' 47'' W,1100 m,VFR Diurno,15/33,1000 m,25 m,PCN 7/F/C/Y/U,Cascalho
SNOE,PI0008,OEIRAS,OEIRAS,PI,7° 1' 8'' S,42° 10' 2'' W,250 m,VFR Diurno,11/29,1200 m,40 m,PCN 8/F/C/Y/U,Terra
SNOF,MG0057,OURO FINO,OURO FINO,MG,22° 17' 51'' S,46° 23' 36'' W,859 m,VFR Diurno,06/24,1080 m,50 m,"2500 kg / 0,5 MPa",Grama
SNOS,MG0024,MUNICIPAL JOSÉ FIGUEIREDO,PASSOS,MG,20° 44' 0'' S,46° 39' 35'' W,822 m,VFR Diurno/Noturno,14/32,1500 m,30 m,PCN 19/F/A/Y/T,Asfalto
SNOU,AC0003,NOVO AERÓDROMO DE FEIJÓ,FEIJÓ,AC,8° 8' 29'' S,70° 20' 27'' W,168 m,VFR Diurno,03/21,1200 m,24 m,"5500 kg / 0,5 MPa",Asfalto
SNOX,PA0014,ORIXIMINÁ,ORIXIMINÁ,PA,1° 42' 49'' S,55° 50' 9'' W,80 m,VFR Diurno,17/35,1600 m,30 m,PCN 27/F/B/X/U,Asfalto
SNPA,MG0052,PARÁ DE MINAS,PARÁ DE MINAS,MG,19° 50' 33'' S,44° 36' 3'' W,839 m,VFR Diurno,12/30,1140 m,23 m,PCN 8/F/C/Y/U,Asfalto
SNPC,PI0009,PICOS,PICOS,PI,7° 3' 55'' S,41° 31' 10'' W,320 m,VFR Diurno,14/32,1200 m,24 m,PCN 8/F/C/Y/U,Asfalto
SNPD,MG0010,PATOS DE MINAS,PATOS DE MINAS,MG,18° 40' 20'' S,46° 29' 29'' W,851 m,VFR Diurno/Noturno,09/27,1700 m,30 m,PCN 39/F/A/Y/T,Asfalto
SNPI,BA0021,PIATÃ,PIATÃ,BA,13° 9' 56'' S,41° 46' 19'' W,1267 m,VFR Diurno,01/19,1350 m,25 m,PCN 10/F/C/Y/U,Cascalho
SNPJ,MG0042,PATROCÍNIO,PATROCÍNIO,MG,18° 54' 33'' S,46° 58' 58'' W,985 m,VFR Diurno,05/23,1200 m,30 m,PCN 14/F/B/Y/T,Asfalto
SNPO,MG0043,TENENTE XAVIER,POMPÉU,MG,19° 12' 12'' S,45° 1' 24'' W,705 m,VFR Diurno,15/33,1200 m,70 m,"5000 kg / 0,5 MPa",Terra
SNPQ,PE0010,PESQUEIRA,PESQUEIRA,PE,8° 22' 27'' S,36° 38' 16'' W,630 m,VFR Diurno,10/28,1000 m,20 m,PCN 8/F/C/Y/U,Terra
SBCZ,AC0002,CRUZEIRO DO SUL,CRUZEIRO DO SUL,AC,7° 35' 58'' S,72° 46' 10'' W,194 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2400 m,45 m,PCN 32/F/A/X/T,Asfalto
SNPX,MG0028,PIRAPORA,PIRAPORA,MG,17° 19' 1'' S,44° 51' 37'' W,551 m,VFR Diurno,10/28,1480 m,30 m,"5670 kg / 0,67 MPa",Terra
SNPY,MG0013,SÃO SEBASTIÃO DO PARAÍSO,SÃO SEBASTIÃO DO PARAÍSO,MG,20° 56' 54'' S,46° 58' 59'' W,950 m,VFR Diurno,05/23,1600 m,30 m,PCN 8/F/C/Y/U,Asfalto
SNPZ,MG0065,COMANDANTE ALMIR MENDES DE OLIVEIRA,PEDRA AZUL,MG,16° 3' 42'' S,41° 10' 19'' W,848 m,VFR Diurno,11/29,999 m,30 m,"5700 kg / 0,5 MPa",Terra
SNQD,PB0006,SOUSA,SOUSA,PB,6° 47' 8'' S,38° 14' 2'' W,272 m,VFR Diurno,15/33,1075 m,30 m,PCN 13/F/A/Y/U,Asfalto
SNQG,PI0003,CANGAPARA,FLORIANO,PI,6° 50' 45'' S,43° 4' 39'' W,210 m,VFR Diurno,16/34,1800 m,30 m,PCN 6/F/C/Y/U,Asfalto
SNQU,BA0032,MUCUGÊ,MUCUGÊ,BA,13° 1' 54'' S,41° 26' 40'' W,1056 m,VFR Diurno,07/25,1300 m,19 m,PCN 6/F/C/Z/U,Asfalto
SNQV,MG0044,CURVELO,CURVELO,MG,18° 44' 58'' S,44° 27' 29'' W,672 m,VFR Diurno,09/27,1200 m,23 m,"5000 kg / 0,5 MPa",Asfalto
SNQX,CE0010,QUIXADÁ,QUIXADÁ,CE,4° 58' 44'' S,38° 59' 16'' W,225 m,VFR Diurno,14/32,1200 m,30 m,PCN 17/F/A/X/T,Terra
SNRD,BA0048,PRADO,PRADO,BA,17° 17' 49'' S,39° 16' 19'' W,27 m,VFR Diurno,11/29,1081 m,30 m,PCN 8/F/C/Y/U,Asfalto
SNRM,BA0022,REMANSO,REMANSO,BA,9° 34' 48'' S,42° 6' 57'' W,405 m,VFR Diurno,11/29,1350 m,30 m,PCN 8/F/C/Y/U,Asfalto
SNRP,MG0066,RIO PARANAÍBA,RIO PARANAÍBA,MG,19° 12' 45'' S,46° 14' 26'' W,1145 m,VFR Diurno,16/34,1000 m,22 m,"4000 kg / 0,5 MPa",Terra
SNRU,PE0004,CARUARU,CARUARU,PE,8° 17' 4'' S,36° 0' 39'' W,576 m,VFR Diurno,13/31,1800 m,30 m,PCN 30/F/A/X/U,Asfalto
SNRX,MA0009,RIACHÃO,RIACHÃO,MA,7° 21' 1'' S,46° 38' 2'' W,400 m,VFR Diurno,12/30,1200 m,40 m,PCN 6/F/C/Y/U,Terra
SNRZ,MG0049,OLIVEIRA,OLIVEIRA,MG,20° 42' 52'' S,44° 51' 55'' W,982 m,VFR Diurno/Noturno,03/21,1180 m,18 m,"5700 kg / 0,5 MPa",Asfalto
SNSE,BA0056,SENTO SÉ,SENTO SÉ,BA,9° 45' 27'' S,41° 51' 18'' W,398 m,VFR Diurno,15/33,1100 m,25 m,PCN 10/F/B/Y/U,Cascalho
SNSG,PE0008,SALGUEIRO,SALGUEIRO,PE,8° 2' 48'' S,39° 8' 2'' W,469 m,VFR Diurno,17/35,1300 m,30 m,PCN 6/F/B/Y/U,Asfalto
SNSI,MG0076,SANTA MARIA DO SUAÇUÍ,SANTA MARIA DO SUAÇUÍ,MG,18° 11' 55'' S,42° 27' 58'' W,480 m,VFR Diurno,03/21,800 m,35 m,"2500 kg / 0,5 MPa",Terra
SNSM,PA0029,SALINÓPOLIS,SALINÓPOLIS,PA,0° 41' 49'' S,47° 20' 16'' W,27 m,VFR Diurno,09/27,1000 m,25 m,"5700 kg / 0,5 MPa",Asfalto
SNSO,MG0072,SERRO,SERRO,MG,18° 36' 40'' S,43° 25' 26'' W,740 m,VFR Diurno,02/20,920 m,23 m,"5700 kg / 0,5 MPa",Asfalto
SNSS,MG0029,SALINAS,SALINAS,MG,16° 12' 30'' S,42° 19' 19'' W,763 m,VFR Diurno,18/36,1480 m,30 m,PCN 8/F/B/Y/T,Asfalto
SNST,BA0049,SOUTO SOARES,SOUTO SOARES,BA,12° 5' 50'' S,41° 38' 26'' W,816 m,VFR Diurno,17/35,1200 m,20 m,PCN 8/F/C/Y/U,Asfalto
SNSW,PA0025,SOURE,SOURE,PA,0° 41' 52'' S,48° 31' 10'' W,13 m,VFR Diurno,06/24,1100 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SNTF,BA0016,TEIXEIRA DE FREITAS,TEIXEIRA DE FREITAS,BA,17° 31' 28'' S,39° 40' 6'' W,105 m,VFR Diurno/Noturno,11/29,1460 m,30 m,PCN 31/F/A/X/T,Asfalto
SNTI,PA0016,ÓBIDOS,ÓBIDOS,PA,1° 52' 5'' S,55° 30' 52'' W,100 m,VFR Diurno,10/28,1520 m,30 m,PCN 9/F/C/Y/U,Asfalto
SNTM,MG0068,TURMALINA,TURMALINA,MG,17° 14' 2'' S,42° 44' 2'' W,882 m,VFR Diurno,01/19,1000 m,30 m,"2500 kg / 0,5 MPa",Terra
SNTO,MG0048,JUSCELINO KUBITSCHECK,TEÓFILO OTONI,MG,17° 53' 27'' S,41° 30' 54'' W,479 m,VFR Diurno/Noturno,11/29,1190 m,23 m,PCN 10/F/B/Y/U,Asfalto
SNTQ,BA0053,BURITIRAMA,BURITIRAMA,BA,10° 43' 18'' S,43° 39' 13'' W,499 m,VFR Diurno,11/29,1102 m,29 m,"5700 kg / 0,5 MPa",Piçarra
SNTR,BA0036,PIRITIBA,PIRITIBA,BA,11° 44' 17'' S,40° 34' 11'' W,585 m,VFR Diurno,10/28,1227 m,25 m,PCN 8/F/B/Y/U,Asfalto
SNTS,PB0005,PATOS,PATOS,PB,7° 2' 16'' S,37° 15' 27'' W,265 m,VFR Diurno/Noturno,12/30,1600 m,30 m,PCN 6/F/C/Y/U,Asfalto
SNTY,BA0051,CORRENTINA,CORRENTINA,BA,13° 22' 48'' S,44° 37' 19'' W,667 m,VFR Diurno,12/30,1140 m,25 m,PCN 8/F/C/Y/U,Cascalho
SNUB,MG0058,UBÁ,UBÁ,MG,21° 7' 21'' S,42° 52' 56'' W,340 m,VFR Diurno,16/34,1080 m,30 m,PCN 8/F/C/Y/U,Asfalto
SNUC,RN0003,AÇU,AÇU,RN,5° 35' 42'' S,36° 57' 39'' W,111 m,VFR Diurno,11/29,1500 m,14 m,PCN 8/F/C/Y/U,Asfalto
SNUH,MG0054,SEBASTIÃO GOMES DE SOUZA,PIUMHI,MG,20° 26' 19'' S,45° 59' 34'' W,745 m,VFR Diurno,06/24,1115 m,30 m,"5700 kg / 0,62 MPa",Grama
SNUI,MG0045,ARAÇUAÍ,ARAÇUAÍ,MG,16° 51' 7'' S,42° 2' 46'' W,360 m,VFR Diurno,09/27,1200 m,30 m,PCN 10/F/B/Y/T,Asfalto
SNUN,MG0055,UNAÍ,UNAÍ,MG,16° 21' 14'' S,46° 55' 37'' W,609 m,VFR Diurno,17/35,1100 m,30 m,PCN 10/F/C/X/U,Asfalto
SNUT,BA0017,UTINGA,UTINGA,BA,12° 6' 20'' S,41° 4' 28'' W,598 m,VFR Diurno,06/24,1420 m,20 m,PCN 8/F/C/Y/U,Asfalto
SNUY,MG0077,BURITIS,BURITIS,MG,15° 37' 54'' S,46° 25' 43'' W,570 m,VFR Diurno,06/24,800 m,20 m,"2500 kg / 0,5 MPa",Terra
SNVB,BA0008,VALENÇA,VALENÇA,BA,13° 17' 47'' S,38° 59' 33'' W,5 m,VFR Diurno/Noturno,04/22,1800 m,30 m,PCN 55/F/B/X/U,Asfalto
SNVC,MG0074,VIÇOSA,VIÇOSA,MG,20° 44' 41'' S,42° 50' 31'' W,659 m,VFR Diurno,17/35,900 m,30 m,"5000 kg / 0,5 MPa",Asfalto
SNVD,BA0050,SANTA MARIA DA VITÓRIA,SANTA MARIA DA VITÓRIA,BA,13° 24' 17'' S,44° 13' 23'' W,465 m,VFR Diurno,10/28,1200 m,30 m,PCN 8/F/C/Y/U,Asfalto
SNVI,MG0035,MELLO VIANA,TRÊS CORAÇÕES,MG,21° 47' 21'' S,45° 16' 5'' W,976 m,VFR Diurno,04/22,1400 m,23 m,PCN 8/F/C/Y/U,Asfalto
SNVS,PA0015,BREVES,BREVES,PA,1° 38' 11'' S,50° 26' 36'' W,30 m,VFR Diurno,07/25,1600 m,30 m,PCN 27/F/B/X/T,Asfalto
SNVV,BA0060,VALENTE,VALENTE,BA,11° 24' 40'' S,39° 26' 36'' W,403 m,VFR Diurno,11/29,1000 m,20 m,"5700 kg / 0,5 MPa",Areia
SNWC,CE0011,CAMOCIM,CAMOCIM,CE,2° 53' 45'' S,40° 51' 32'' W,"18,1 m",VFR Diurno/Noturno,14/32,1200 m,30 m,PCN 14/F/B/Y/U,Asfalto
SNWS,CE0005,CRATEÚS,CRATEÚS,CE,5° 12' 40'' S,40° 42' 15'' W,315 m,VFR Diurno/Noturno,08/26,1500 m,30 m,PCN 12/F/C/Y/U,Asfalto
SNXB,MG0025,CAXAMBU,CAXAMBU,MG,21° 55' 3'' S,44° 58' 10'' W,865 m,VFR Diurno/Noturno,09/27,1500 m,30 m,PCN 8/F/C/X/U,Asfalto
SNXQ,BA0018,XIQUE-XIQUE,XIQUE-XIQUE,BA,10° 50' 3'' S,42° 41' 0'' W,427 m,VFR Diurno,13/31,1420 m,20 m,PCN 8/F/C/Y/U,Asfalto
SNYA,PA0024,ALMEIRIM,ALMEIRIM,PA,1° 28' 45'' S,52° 34' 41'' W,178 m,VFR Diurno,06/24,1200 m,30 m,PCN 7/F/B/Y/U,Piçarra
SNYB,MG0047,TITO TEIXEIRA,ITUIUTABA,MG,19° 0' 7'' S,49° 29' 14'' W,605 m,VFR Diurno,03/21,1200 m,30 m,PCN 8/F/B/X/U,Asfalto
SNYE,MA0004,PINHEIRO,PINHEIRO,MA,2° 28' 39'' S,45° 6' 18'' W,20 m,VFR Diurno,09/27,1740 m,30 m,PCN 29/F/C/X/T,Asfalto
SNYT,BA0014,ITUAÇU,ITUAÇU,BA,13° 49' 43'' S,41° 18' 8'' W,535 m,VFR Diurno,03/21,1500 m,30 m,PCN 10/F/B/Y/U,Asfalto
SNYU,MG0014,AERÓDROMO DE ITURAMA,ITURAMA,MG,19° 43' 4'' S,50° 13' 3'' W,475 m,VFR Diurno/Noturno,18/36,1550 m,30 m,PCN 10/F/A/Y/T,Asfalto
SNZA,MG0038,POUSO ALEGRE,POUSO ALEGRE,MG,22° 17' 20'' S,45° 55' 10'' W,885 m,VFR Diurno,01/19,1220 m,30 m,PCN 7/F/B/Y/U,Asfalto
SNZR,MG0026,PEDRO RABELO DE SOUZA,PARACATU,MG,17° 14' 35'' S,46° 52' 53'' W,730 m,VFR Diurno,11/29,1500 m,30 m,PCN 11/F/C/Y/T,Asfalto
SNZW,BA0063,ITUBERÁ,ITUBERÁ,BA,13° 43' 54'' S,39° 8' 26'' W,7 m,VFR Diurno,10/28,850 m,20 m,PCN 6/F/B/Y/U,Cascalho
SSAB,PR0024,MOISÉS LUPION,IBAITI,PR,23° 45' 47'' S,50° 15' 53'' W,600 m,VFR Diurno,05/23,1200 m,18 m,"5700 kg / 0,5 MPa",Asfalto
SSAE,RS0040,ARROIO GRANDE,ARROIO GRANDE,RS,32° 13' 45'' S,53° 3' 21'' W,49 m,VFR Diurno,06/24,1000 m,18 m,"5700 kg / 0,5 MPa",Terra
SSAK,RS0048,CARLOS RUHL,CRUZ ALTA,RS,28° 39' 28'' S,53° 36' 38'' W,470 m,VFR Diurno,04/22,800 m,60 m,"2500 kg / 0,5 MPa",Grama
SSAN,PR0032,JOÃO GALDINO,ANDIRÁ,PR,23° 1' 37'' S,50° 13' 42'' W,490 m,VFR Diurno,09/27,1000 m,23 m,"5600 kg / 0,5 MPa",Asfalto
SSAP,PR0014,CAPITÃO JOÃO BUSSE,APUCARANA,PR,23° 36' 44'' S,51° 23' 6'' W,805 m,VFR Diurno/Noturno,10/28,1400 m,30 m,PCN 9/F/C/Y/U,Asfalto
SSAQ,RS0036,AEROCLUBE DE PASSO FUNDO,PASSO FUNDO,RS,28° 15' 2'' S,52° 31' 0'' W,600 m,VFR Diurno,15/33,1080 m,35 m,"5700 kg / 0,5 MPa",Grama
SSBE,MS0014,CAMAPUÃ,CAMAPUÃ,MS,19° 35' 52'' S,54° 1' 9'' W,563 m,VFR Diurno,15/33,1200 m,23 m,PCN 10/F/B/X/T,Asfalto
SSBJ,RS0016,BOM JESUS,BOM JESUS,RS,28° 36' 46'' S,50° 26' 58'' W,1071 m,VFR Diurno,16/34,1320 m,18 m,"5700 kg / 0,62 MPa",Terra
SSBL,SC0019,BLUMENAU,BLUMENAU,SC,26° 49' 58'' S,49° 5' 37'' W,18 m,VFR Diurno,18/36,1080 m,30 m,PCN 17/F/C/Y/U,Asfalto
SSBN,RS0002,BELÉM NOVO,PORTO ALEGRE,RS,30° 11' 21'' S,51° 10' 57'' W,5 m,VFR Diurno,09/27,1103 m,23 m,"5700 kg / 0,5 MPa",Asfalto
SSBR,PR0022,YARA,BANDEIRANTES,PR,23° 4' 22'' S,50° 25' 23'' W,402 m,VFR Diurno,14/32,1300 m,100 m,PCN 8/F/C/Y/U,Cascalho
SSBV,MS0011,BELA VISTA,BELA VISTA,MS,22° 4' 56'' S,56° 32' 18'' W,235 m,VFR Diurno,03/21,1300 m,23 m,PCN 10/F/B/Y/T,Terra
SSCB,SP0044,MUNICIPAL DE CASA BRANCA,CASA BRANCA,SP,21° 47' 17'' S,47° 3' 20'' W,712 m,VFR Diurno,09/27,1154 m,20 m,"5700 kg / 0,5 MPa",Terra
SSCD,MS0007,CHAPADÃO DO SUL,CHAPADÃO DO SUL,MS,18° 50' 21'' S,52° 29' 17'' W,817 m,VFR Diurno/Noturno,05/23,2000 m,30 m,PCN 30/F/C/X/T,Asfalto
SSCI,MS0012,COXIM,COXIM,MS,18° 28' 53'' S,54° 42' 57'' W,292 m,VFR Diurno,02/20,1300 m,23 m,PCN 13/F/A/X/T,Asfalto
SSCK,SC0010,OLAVO CECCO RIGON,CONCÓRDIA,SC,27° 10' 50'' S,52° 3' 4'' W,750 m,VFR Diurno/Noturno,14/32,1480 m,18 m,PCN 12/F/B/Y/U,Asfalto
SNPU,MG0073,PARAGUAÇU,PARAGUAÇU,MG,21° 33' 41'' S,45° 45' 17'' W,898 m,VFR Diurno,07/25,900 m,30 m,PCN 8/F/C/Y/U,Terra
SSCN,RS0019,CANELA,CANELA,RS,29° 22' 14'' S,50° 49' 56'' W,837 m,VFR Diurno/Noturno,06/24,1260 m,18 m,PCN 21/F/B/Y/T,Asfalto
SSCP,PR0015,FRANCISCO LACERDA JÚNIOR,CORNÉLIO PROCÓPIO,PR,23° 9' 9'' S,50° 36' 9'' W,567 m,VFR Diurno,06/24,1400 m,30 m,PCN 8/F/C/Y/U,Asfalto
SSCR,PR0016,RUBEN BERTA,MARECHAL CÂNDIDO RONDON,PR,24° 30' 46'' S,54° 3' 14'' W,525 m,VFR Diurno,01/19,1400 m,30 m,PCN 10/F/C/Y/U,Asfalto
